generic,brand,category,categoryUr,dosageForm,strength,prescription,usesEn,usesUr,sideEn,sideUr,warningEn,warningUr,contraindicationsEn,contraindicationsUr,interactionsEn,interactionsUr,pregnancyEn,pregnancyUr,pediatricEn,pediatricUr,drapRegistrationNo,marketStatus,sourceStatus
Famotidine,Pepcid,Gastrointestinal,معدہ اور تیزابیت,,,False,Heartburn and acid-related disorders,سینے کی جلن اور تیزابیت,Headache; dizziness; GI symptoms,سر درد؛ چکر؛ معدے کی علامات,Dose adjustment may be needed in renal impairment.,گردوں کی کمزوری میں خوراک ایڈجسٹ ہو سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Ondansetron,Zofran,Nausea & Vomiting,متلی اور الٹی,,,True,Prevention/treatment of nausea and vomiting in selected settings,منتخب حالات میں متلی اور الٹی,Headache; constipation; QT prolongation risk,سر درد؛ قبض؛ QT prolongation کا خطرہ,Use caution with QT-prolonging drugs and electrolyte abnormalities.,QT prolonging ادویات اور electrolyte abnormalities میں احتیاط۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Domperidone,Motilium,Nausea & Vomiting,متلی اور الٹی,,,True,Nausea/vomiting in selected indications,منتخب صورتوں میں متلی/الٹی,Dry mouth; headache; cardiac rhythm risk,منہ خشک؛ سر درد؛ دل کی دھڑکن کا خطرہ,Use only within approved indication/duration; assess cardiac risk and interactions.,صرف منظور شدہ indication/duration کے مطابق؛ cardiac risk اور interactions دیکھیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Metoclopramide,Maxolon,Nausea & Vomiting,متلی اور الٹی,,,True,Nausea/vomiting in selected indications,منتخب صورتوں میں متلی/الٹی,Drowsiness; restlessness; extrapyramidal reactions,غنودگی؛ بے چینی؛ extrapyramidal reactions,Short-term use is generally preferred; contraindications/interactions matter.,عموماً مختصر مدت؛ contraindications/interactions کا خیال رکھیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Amoxicillin,Amoxil,Antibiotics,اینٹی بایوٹکس,,,True,Susceptible bacterial infections,حساس بیکٹیریل انفیکشنز,Diarrhea; nausea; rash; allergy,دست؛ متلی؛ ریش؛ allergy,Use only for appropriate bacterial infection; penicillin allergy is important.,صرف مناسب bacterial infection میں؛ penicillin allergy اہم ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Amoxicillin + Clavulanate,Augmentin,Antibiotics,اینٹی بایوٹکس,,,True,Susceptible bacterial infections,حساس بیکٹیریل انفیکشنز,Diarrhea; nausea; rash,دست؛ متلی؛ ریش,Antibiotic stewardship; check penicillin allergy and indication.,antibiotic stewardship؛ penicillin allergy اور indication چیک کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Azithromycin,Azomax,Antibiotics,اینٹی بایوٹکس,,,True,Selected bacterial respiratory/other infections,منتخب bacterial respiratory/دیگر انفیکشنز,Nausea; diarrhea; abdominal pain; QT risk,متلی؛ دست؛ پیٹ درد؛ QT کا خطرہ,Not for routine viral URTI; review QT and interactions.,عام viral نزلہ زکام کے لیے نہیں؛ QT اور interactions چیک کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Ciprofloxacin,Ciproxin,Antibiotics,اینٹی بایوٹکس,,,True,Selected susceptible bacterial infections,منتخب حساس bacterial انفیکشنز,Nausea; diarrhea; CNS effects; tendon injury risk,متلی؛ دست؛ CNS اثرات؛ tendon injury کا خطرہ,Reserve for appropriate indications; important interaction and safety restrictions apply.,صرف مناسب indication؛ اہم interactions اور safety restrictions موجود ہیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Metronidazole,Flagyl,Antibiotics,اینٹی بایوٹکس,,,True,Anaerobic/protozoal infections and selected dental/GI indications,anaerobic/protozoal اور بعض dental/GI انفیکشنز,Nausea; metallic taste; diarrhea,متلی؛ دھاتی ذائقہ؛ دست,Avoid alcohol during treatment and for the advised post-treatment interval.,علاج کے دوران اور ڈاکٹر کی بتائی مدت تک alcohol سے پرہیز۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Cefixime,Cefspan,Antibiotics,اینٹی بایوٹکس,,,True,Selected susceptible bacterial infections,منتخب حساس bacterial انفیکشنز,Diarrhea; nausea; rash,دست؛ متلی؛ ریش,Use only when indicated; check allergy history.,صرف indication پر؛ allergy history چیک کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Ceftriaxone,Rocephin,Antibiotics,اینٹی بایوٹکس,,,True,Serious susceptible bacterial infections in clinical settings,سنگین حساس bacterial انفیکشنز,Injection-site reactions; diarrhea; allergy,انجیکشن والی جگہ پر ردعمل؛ دست؛ allergy,Parenteral prescription medicine; clinician supervision required.,انجیکشن prescription دوا؛ clinician supervision ضروری۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Levofloxacin,Levoxin,Antibiotics,اینٹی بایوٹکس,,,True,Selected bacterial infections,منتخب bacterial انفیکشنز,Nausea; diarrhea; tendon/neurologic adverse effects,متلی؛ دست؛ tendon/neurologic adverse effects,Fluoroquinolone safety restrictions apply; use only when appropriate.,fluoroquinolone safety restrictions؛ صرف مناسب indication پر۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Co-amoxiclav,Augmentin,Antibiotics,اینٹی بایوٹکس,,,True,Same as amoxicillin/clavulanate,اموکسی سلین/کلاوولینیٹ جیسی indications,GI upset; rash; allergy,معدے کی تکلیف؛ ریش؛ allergy,Duplicate entry/brand normalization should be handled in production.,production میں duplicate/brand normalization ضروری ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Cetirizine,Rigix,Allergy,الرجی,,,False,Allergic rhinitis; urticaria,الرجک rhinitis؛ urticaria,Drowsiness; dry mouth; fatigue,غنودگی؛ منہ خشک؛ تھکن,Caution with driving if drowsy.,غنودگی ہو تو driving میں احتیاط۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Loratadine,Claritin,Allergy,الرجی,,,False,Allergic rhinitis; urticaria,الرجک rhinitis؛ urticaria,Headache; mild drowsiness in some people,سر درد؛ بعض افراد میں ہلکی غنودگی,Follow age-appropriate dosing; renal/hepatic impairment may require adjustment.,عمر کے مطابق خوراک؛ جگر/گردوں کی بیماری میں adjustment ہو سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Fexofenadine,Telfast,Allergy,الرجی,,,False,Allergic rhinitis; urticaria,الرجک rhinitis؛ urticaria,Headache; nausea,سر درد؛ متلی,Separate from aluminum/magnesium antacids when applicable.,aluminum/magnesium antacids سے مناسب وقفہ رکھیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Levocetirizine,Xyzal,Allergy,الرجی,,,False,Allergic rhinitis; urticaria,الرجک rhinitis؛ urticaria,Drowsiness; fatigue; dry mouth,غنودگی؛ تھکن؛ منہ خشک,Dose adjustment may be needed in renal impairment.,گردوں کی بیماری میں خوراک adjust ہو سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Montelukast,Singulair,Respiratory,سانس اور الرجی,,,True,Asthma maintenance and allergic rhinitis in selected patients,منتخب مریضوں میں asthma control اور allergic rhinitis,Headache; abdominal symptoms; neuropsychiatric effects,سر درد؛ پیٹ کی علامات؛ neuropsychiatric effects,Not a rescue medicine for acute asthma; monitor mood/behavior changes.,acute asthma rescue کے لیے نہیں؛ mood/behavior changes کی نگرانی۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Salbutamol,Ventolin,Respiratory,سانس,,,True,Relief of bronchospasm in asthma/COPD,asthma/COPD میں bronchospasm سے نجات,Tremor; palpitations; headache,کپکپی؛ دل کی دھڑکن تیز؛ سر درد,Frequent need for rescue inhaler warrants asthma review.,بار بار ضرورت پڑے تو asthma review ضروری ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
